Autor ohne Grad,Autor mit Grad,Titel,Untertitel,Zeitschrift,Zeitschriftkürzel,Volume,Issue,Datum,Seitennummer,PDF vom Artikel (Druckversion) (Link),PDF vom Artikel (Digitalversion) (Link),DOI vom Artikel,Bildschirmansicht vom Artikel (Link),Abstract von der Gesamtausgabe (Bildschirmansicht) (Link),PDF_Gesamtausgabe_Link_Druck,Abstract vom Artikel,Rubrik,Gesamtausgabe (Bildschirmansicht) (Link),Land
Jan-Philipp Redder,"Von Wiss. Mitarbeiter Jan-Philipp Redder, Hamburg",20 Wiederholungsfragen zum internationalen Diplomatenrecht,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1008.pdf,,,,,,,,,Deutschland
Tim Husemann,"Von Akad. Rat a.Z. Dr. Tim Husemann, Wiss. Mitarbeiterin Antje Weirauch, Bochum",Schwerpunktbereichsklausur: Von Puffautos und Kaffeebohnen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1009.pdf,,,,,,,,,Deutschland
Antje G. I. Tölle,"Von Rechtsanwältin Antje G. I. Tölle, Berlin",Fortgeschrittenenklausur: Das Golfparadies,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1010.pdf,,,,,,,,,Deutschland
Tobias von Bressensdorf,"Von Wiss. Mitarbeiter Tobias von Bressensdorf, Leipzig",Schwerpunktbereichsklausur: Ekelskandal bei Burger No. 1,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1011.pdf,,,,,,,,,Deutschland
Christoph Herrmann,"Von Prof. Dr. Christoph Herrmann, LL.M., Wiss. Mitarbeiter Herbert Rosenfeldt, Passau","Fortgeschrittenenhausarbeit: Profit, Moral und die rechtlichen Grenzen der Kriegswaffenexportkontrolle – Teil 2",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1012.pdf,,,,,,,,,Deutschland
David Koppe,"Von Wiss. Mitarbeiter David Koppe, Wiss. Mitarbeiter Alexander Schwarz, Leipzig",Schwerpunktbereichsklausur: Das Krim-Märchen und der Krieg,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1013.pdf,,,,,,,,,Deutschland
Martin Böse,"Von Prof. Dr. Martin Böse, Bonn",Schwerpunktbereichsklausur: Internationales und Europäisches Strafverfahrensrecht,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1014.pdf,,,,,,,,,Deutschland
Georg Steinberg,"Von Prof. Dr. Georg Steinberg, stud. iur. Melanie Epe, Potsdam",Übungsfall: Die Sandviper,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1015.pdf,,,,,,,,,Deutschland
Benedikt Strobel,"(Akad. Rat a.Z. Dr. iur. Benedikt Strobel, München)","BGH, Beschl. v. 18.6.2014 – III ZR 537/13 (OLG Karlsruhe, LG Baden-Baden)(Ansprüche der tatsächlichen Erben gegen einen vom Scheinerben beauftragten Erbenermittler)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1016.pdf,,,,,,,,,Deutschland
Lennart Giesen,"(Cand. iur. Lennart Giesen, Bielefeld)","BGH, Urt. v. 18.12.2015 – V ZR 160/14 (LG Regensburg, AG Regensburg)(Anspruch auf Unterlassen gegen den Fahrzeughalter als Zustandsstörer aus verbotener Eigenmacht)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1017.pdf,,,,,,,,,Deutschland
Fabio Adinolfi,"(Ref. iur. Fabio Adinolfi, Köln, Mag. iur. Tillmann Rübben, Berlin)","OLG München, Urt. v. 15.1.2015 – U 1110/14 Kart. (LG München)(Der Fall Pechstein und die Zukunft der Sportgerichtsbarkeit)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1018.pdf,,,,,,,,,Deutschland
Janique Brüning,"(Privatdozentin Dr. Janique Brüning, Hamburg)","BGH, Beschl. v. 4.8.2015 – 3 StR 112/15 (LG Trier)(Zur sog. Nacheile beim räuberischen Diebstahl)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1019.pdf,,,,,,,,,Deutschland
Holm Putzke,"(Prof. Dr. Holm Putzke, LL.M. [Krakau], Passau)","LG Neubrandenburg, Urt. v. 5.2.2016 – 90 Ns 75/15(Grenzen der Meinungsfreiheit beim Schutz der persönlichen Ehre)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1020.pdf,,,,,,,,,Deutschland
Katrin Wick,"(Wiss. Mitarbeiterin Katrin Wick, Frankfurt am Main)","Gabriele Kett-Straub/Franz Streng, Strafvollzugsrecht, 2016",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_3_1021.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Cornelia Stietz,"Von stud. iur. Cornelia Stietz, Heidelberg",Zur richtlinienkonformen Auslegung von § 476 BGB,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1022.pdf,,,,,,,,,Deutschland
Daniel Weidemann,"Von Wiss. Mitarbeiter Daniel Weidemann, Münster",Religiöse Symbole vor Gericht – Teil 2,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1023.pdf,,,,,,,,,Deutschland
Manfred Heinrich,"Von Prof. Dr. Manfred Heinrich, Kiel",Besonderheiten der strafrechtlichen Verjährung im Bereich des Rundfunks und der TelemedienBeiträge zum Medienstrafrecht – Teil 4,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1024.pdf,,,,,,,,,Deutschland
Simon Pschorr,"Von Wiss. Mitarbeiter Simon Pschorr, Konstanz",DIY-UrbanismRecht auf Stadt oder widerrechtliche Aneignung?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1025.pdf,,,,,,,,,Deutschland
Franz Hofmann,"Von Akad. Rat a.Z. Dr. Franz Hofmann, LL.M. (Cambridge), München",Die Räumung von Wohnraum im einstweiligen Rechtsschutz nach § 940a ZPO,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1026.pdf,,,,,,,,,Deutschland
Lennart Giesen,"Von cand. iur. Lennart Giesen, Bielefeld",Die Durchsetzbarkeit der Verwendungsansprüche im Eigentümer-Besitzer-Verhältnis,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1027.pdf,,,,,,,,,Deutschland
Beate Gsell,"Von Prof. Dr. Beate Gsell, Akad. Rat a.Z. Dr. Matthias Fervers, München",Übungsfall: Einmal Mangel immer Mangel?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1028.pdf,,,,,,,,,Deutschland
Christoph Herrmann,"Von Prof. Dr. Christoph Herrmann, Wiss. Mitarbeiterin Viktoria Sauter, Passau",Examensklausur: Flüchtlingskrise,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1029.pdf,,,,,,,,,Deutschland
Volker Herbolsheimer,"Von Wiss. Mitarbeiter Volker Herbolsheimer, Bochum",Übungsfall: Die Suche nach dem Richtigen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1030.pdf,,,,,,,,,Deutschland
Annette Prehn,"Von Wiss. Mitarbeiterin Dr. Annette Prehn, Greifswald",Hausarbeit: Die unbeugsame Bürgerschaft,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1031.pdf,,,,,,,,,Deutschland
Georg Steinberg,"Von Prof. Dr. Georg Steinberg, Ass. iur. Christoph Wolf, stud. iur. Anna Lena Füllsack, Wiesbaden",Übungsfall: Die Glasflasche,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1032.pdf,,,,,,,,,Deutschland
Florian Schumann,"Von Staatsanwalt Dr. Florian Schumann, Konstanz",Fortgeschrittenenklausur: Strohfeuer,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1033.pdf,,,,,,,,,Deutschland
Christopher Penkuhn,"Von Wiss. Mitarbeiter Christopher Penkuhn, Göttingen",Anfängerhausarbeit: Eine Frage der Ehre,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1034.pdf,,,,,,,,,Deutschland
Marvin Straub,"(Stud. iur. Marvin Straub, Augsburg)","BGH, Urt. v. 15.12.2015 – VI ZR 134/15(Verletzung des Allgemeinen Persönlichkeitsrechts bei E-Mail-Werbung)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1035.pdf,,,,,,,,,Deutschland
Katrin Hagemann,"(Rechtsanwältin Dr. Katrin Hagemann, Minden)","BGH, Urt. v. 15.1.2014 – VIII ZR 70/13(Zum Umfang der Beweislastumkehr nach § 476 BGB)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1036.pdf,,,,,,,,,Deutschland
Michael Heghmanns,"(Prof. Dr. Michael Heghmanns, Münster)","BGH, Urt. v. 20.1.2016 – 1 StR 398/15(Verknüpfung von Nötigungsmitteln und Wegnahme beim Raub)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1037.pdf,,,,,,,,,Deutschland
Bettina Weißer,"(Prof. Dr. Bettina Weißer, Münster)","BVerfG, Beschl. v. 21.12.2015 – 2 BvR 2347/15(Strafbarkeitsrisiken unter Geltung des zum 10.12.2015 in Kraft getretenen § 217 StGB – zugleich zur tatbestandlichen Reichweite des § 217 StGB)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1038.pdf,,,,,,,,,Deutschland
Daniel Klocke,"(Privatdozent Dr. Daniel Klocke, Halle [Saale])","Eva Kocher, Europäisches Arbeitsrecht, 2016",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_4_1039.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Lukas Böffel,"Von cand. iur. Lukas Böffel, Berlin",Bedarf der Vorstand einer AG zum Erwerb eines Unternehmens der Zustimmung der Hauptversammlung?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1040.pdf,,,,,,,,,Deutschland
Julian Krüper,"Von Prof. Dr. Julian Krüper, Wiss. Mitarbeiter Volker Herbolsheimer, Bochum",Die Veränderungssperre im Kontext gemeindlicher Planungshoheit,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1041.pdf,,,,,,,,,Deutschland
Philipp I. Lee,"Von stud. iur. Philipp I. Lee, Hamburg",Die Dichotomie des Nachhaltigkeitsprinzips und seine Verwirklichung im Mehrebenensystem der Raum- und Bauleitplanung,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1042.pdf,,,,,,,,,Deutschland
Manfred Heinrich,"Von Prof. Dr. Manfred Heinrich, Kiel",Das „Verbreiten“ als Tathandlung im MedienstrafrechtBeiträge zum Medienstrafrecht – Teil 5,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1043.pdf,,,,,,,,,Deutschland
Verena Greiner,"Von RiAG Verena Greiner, Straubing",Grundzüge des Insolvenzverfahrens,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1044.pdf,,,,,,,,,Deutschland
Oscar Szerkus,"Von Akad. Mitarbeiter Oscar Szerkus, Berlin",Die Lehre vom Nebenbesitz und gutgläubiger Erwerb nach § 934 Alt. 1 BGB,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1045.pdf,,,,,,,,,Deutschland
David Ferrazini,"Von Akad. Mitarbeiter David Ferrazini, Akad. Mitarbeiter Oscar Szerkus, Viadrina",Schwerpunktbereichsklausur: EM-Fieber,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1046.pdf,,,,,,,,,Deutschland
Markus Ludwigs,"Von Prof. Dr. Markus Ludwigs, Wiss. Mitarbeiter Rechtsanwalt Johannes Grell, Würzburg",Klausur im Polizeirecht: Zu Recht falsch verdächtigt?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1047.pdf,,,,,,,,,Deutschland
Henry Hahn,"Von Wiss. Mitarbeiter Dr. Henry Hahn, Rostock",Hausarbeit: Verbot der Pelztierhaltung,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1048.pdf,,,,,,,,,Deutschland
Peter Kasiske,"Von Wiss. Mitarbeiter Dr. Peter Kasiske, München",Übungsfall: Leise pfeift der Whistleblower,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1049.pdf,,,,,,,,,Deutschland
Tamina Preuß,"Von Wiss. Mitarbeiterin Dr. Tamina Preuß, Würzburg",Referendarexamensklausur: Ein „preisgünstiger“ Sommertag,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1050.pdf,,,,,,,,,Deutschland
Benedikt Nehls,"(Wiss. Mitarbeiter Benedikt Nehls, Erlangen)","OLG Bamberg, Beschl. v. 12.5.2016 – 2 UF 58/16(Zur Frage der Anwendung des Ordre-Public bei Minderjährigenehen)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1051.pdf,,,,,,,,,Deutschland
Martin Böse,"(Prof. Dr. Martin Böse, Bonn)","BGH, Beschl. v. 16.7.2015 – 2 StR 16/15(Verhältnis von Betrug und Computerbetrug)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1052.pdf,,,,,,,,,Deutschland
Hans Theile,"(Prof. Dr. Hans Theile, LL.M., Konstanz)","BGH, Beschl. v. 10.3.2016 – 3 StR 404/15(Zur Auslegung des Tatbestandsmerkmals „Einsteigen“ im Sinne von § 243 Abs. 1 S. 2 Nr. 1, § 244 Abs. 1 Nr. 3 StGB)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1053.pdf,,,,,,,,,Deutschland
Anastasia Baetge,"(Prof. Dr. Anastasia Baetge, M.L.E., Berlin)","Carsten Kunkel, Vertragsgestaltung, 2016",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1054.pdf,,,,,,,,,Deutschland
Dennis Bock,"(Prof. Dr. Dennis Bock, Kiel)","Thomas Rotsch, Strafrechtliche Klausurenlehre, 2. Aufl. 2016",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1055.pdf,,,,,,,,,Deutschland
Sebastian Sobota,"Von Akad. Rat a.Z. Dr. Sebastian Sobota, Mainz",Schlaglicht auf das Assessorexamen,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_5_1056.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Sebastian Ferner,"Von Ref. iur. Sebastian Ferner, Frankfurt",Grundlagen und ausgewählte Probleme der Partnerschaftsgesellschaft,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1057.pdf,,,,,,,,,Deutschland
Nick Marquardt,"Von Ref. iur. Nick Marquardt, Halle/Saale",Der Lizenznehmer in der Insolvenz des Lizenzgebers - eine unendliche Geschichte?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1058.pdf,,,,,,,,,Deutschland
Aleksandar Zivanic,"Von stud. iur. Aleksandar Zivanic, Konstanz",Bündelung von Ansprüchen mittels Inkassozession im VW-AbgasskandalEine „Sammelklage“ nach deutschem Recht?,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1059.pdf,,,,,,,,,Deutschland
Manfred Heinrich,"Von Prof. Dr. Manfred Heinrich, Kiel",„Zugänglichmachen“ und „öffentliches Begehen“ als Tathandlungen im MedienstrafrechtBeiträge zum Medienstrafrecht – Teil 6,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1060.pdf,,,,,,,,,Deutschland
Carsten Doerfert,"Von Prof. Dr. Carsten Doerfert, Bielefeld",Sezession im Bundesstaat – Neun Fragen an das Grundgesetz,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1061.pdf,,,,,,,,,Deutschland
Ivo Bach,"Von Prof. Dr. Ivo Bach, Göttingen",Fortgeschrittenenklausur: Dieselgate,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1062.pdf,,,,,,,,,Deutschland
Ulf P. Börstinghaus,"Von RiAG Prof. Dr. Ulf P. Börstinghaus, Wiss. Mitarbeiter Dennis Pielsticker, Bielefeld",Fortgeschrittenenklausur: Und am Ende nichts als Ärger,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1063.pdf,,,,,,,,,Deutschland
Kristin Pfeffer,"Von Prof. Dr. Kristin Pfeffer, Dr. Volker Steffahn, Hamburg",Klausur: Flüchtlinge in den Leerstand!,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1064.pdf,,,,,,,,,Deutschland
Jan-Marcel Drossel,"Von Ref. iur. Jan-Marcel Drossel, Wiss. Mitarbeiter Volker Herbolsheimer, Berlin/Bochum",Übungshausarbeit: Brennende Neugier,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1065.pdf,,,,,,,,,Deutschland
Annabell Blaue,"Von Wiss. Mitarbeiterin Annabell Blaue, Halle-Wittenberg",Übungsfall: Untreue mit bitterem Ende,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1066.pdf,,,,,,,,,Deutschland
Tobias Günther,"Von Wiss. Mitarbeiter Tobias Günther, Wiss. Mitarbeiterin Nicole Selzer, Halle (Saale)",Examensklausur: Die freundlich gierigen Bankmitarbeiter,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1067.pdf,,,,,,,,,Deutschland
Paul T. Schrader,"(Prof. Dr. Paul T. Schrader, LL.M.oec., Augsburg)","BGH, Urt. v. 19.7.2016 – X ZR 123/15(Anzeige des Reisemangels trotz Kenntnis des Reiseveranstalters)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1068.pdf,,,,,,,,,Deutschland
Robert Böttner,"(Wiss. Mitarbeiter Robert Böttner, B.A., LL.M., Leipzig)","BVerfG, Urt. v. 21.6.2016 – 2 BvR 2728/13 et al.(Rechtmäßigkeit des Ankaufs von Staatsanleihen durch die EZB im OMT-Programm)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1069.pdf,,,,,,,,,Deutschland
Janique Brüning,"(Prof. Dr. Janique Brüning, Kiel)","BGH, Urt. v. 26.11.2015 – 3 StR 247/15(Schadensberechnung bei Kreditverträgen)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1070.pdf,,,,,,,,,Deutschland
Holm Putzke,"(Prof. Dr. Holm Putzke, LL.M., Passau/Wiesbaden)","LG Passau, Urt. v. 13.1.2016 – 1 Ns 35 Js 4140/13;AG Erfurt, Urt. v. 26.4.2016 – 880 Js 10703/13 Ds(Betrug der Kaskoversicherung durch versteckten Rabatt)",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1071.pdf,,,,,,,,,Deutschland
Florian Fuhrmann,"(Florian Fuhrmann, Erlangen)","Martin Zwickel/Eva Julia Lohse/Matthias Schmid, Kompetenztraining Jura, 2014",,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2016_6_1072.pdf,,,,,,,,,Deutschland
,,,,Zeitschrift für das Juristische Studium,ZJS,,,,,,,,,,,,,,Deutschland
Hasoor Tahir,"Stud. iur. Hasoor Tahir, Frankfurt am Main",Der Wegfall von § 708 BGB infolge des MoPeG,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1800.pdf,,,,,,,,,Deutschland
Simon A. Miller,"Dipl.-Jur. Simon A. Miller, LL.M., MBA, Passau",Relevanz und Provenienz unionaler Grundrechtsdogmatik,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1801.pdf,,,,,,,,,Deutschland
Jonathan Porath,"Jonathan Porath, Bonn",Das Gremienproblem im Strafrecht,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1802.pdf,,,,,,,,,Deutschland
Louisa Voigt,"Stud. iur. Louisa Voigt, Münster",Das Inquisitionsverfahren als zeitgenössische Errungenschaft – Teil 1,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1803.pdf,,,,,,,,,Deutschland
Jana Hagenmüller,"Wiss. Mitarbeiterin Jana Hagenmüller, Wiss. Mitarbeiter Dominik Leist, Trier",Urlaubsrecht unter unionsrechtlichem Einfluss: Verfall und Abgeltung bei LangzeiterkrankungFallbearbeitung im Arbeitsrecht – Teil 4,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1804.pdf,,,,,,,,,Deutschland
Thomas Pierson,"PD Dr. Thomas Pierson, Frankfurt am Main, Verwaltungsrichterin Janna Samira Stein-Cadenbach, Bayreuth",Grundkurshausarbeit zur Partnervermittlung: „Wo die Liebe hinbellt!“,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1805.pdf,,,,,,,,,Deutschland
Marcus Rehtmeyer,"Dr. Marcus Rehtmeyer, LL.B., Potsdam",Examensübungsklausur: „Glücklose Geschäfte“,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1806.pdf,,,,,,,,,Deutschland
Klaus Joachim Grigoleit,"Prof. Dr. Klaus Joachim Grigoleit, Ass. iur. Moritz Klanten, Dortmund",Anfängerklausur – Baurecht: Problematische Massage,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1807.pdf,,,,,,,,,Deutschland
Benjamin Poliak,"Wiss. Mitarbeiter Benjamin Poliak, Düsseldorf",Anfängerklausur – Staatsorganisationsrecht: Die sorgsame Kanzlerin,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1808.pdf,,,,,,,,,Deutschland
Josua Zimmermann,"Wiss. Mitarbeiter Josua Zimmermann, Wiss. Mitarbeiter Marius Hundt-Matthies, Leipzig",(Referendar-)Examensklausur: Kleben für das Klima,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1809.pdf,,,,,,,,,Deutschland
Alexander Bechtel,"Dr. Alexander Bechtel, Tübingen",Examensübungsklausur: Die lieben Mitbewohner,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1810.pdf,,,,,,,,,Deutschland
Jeannine Ann Boatright,"Wiss. Mitarbeiterin Jeannine Ann Boatright, Wiss. Mitarbeiterin Irina Isabel Pommerenke, Gießen",Examensübungsklausur: Dubioser Welpenkauf mit besonders schwerer Folge,,Zeitschrift für das Juristische Studium,ZJS,,,,,https://www.zjs-online.com/dat/artikel/2023_6_1811.pdf,,,,,,,,,Deutschland
