Titel,Zeitschrift,Zeitschriftkürzel,Land
Pflichtenkollision bei Triage-Entscheidungen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Corona -Triage verfassungsrechtliche und strafrechtliche Perspektive,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Zur Deliktsnatur der Amtsanmaßung im Speziellen und der Existenz von sog. schlichten Tätigkeitsdelikten im AllgemeinenÜberlegungen anlässlich BGH, Beschl. v. 14.4.2020 5 StR 37/20 = BGHSt 64, 314 = NJW 2020, 2201",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Ausnutzen einer trügerischen Beweiseinheit als spezifisches Unrecht des § 281 StGBZugleich Besprechung von BGH, Beschl. v. 27.7.2020 5 StR 146/19 (Aufgabe von BGHSt 20, 17)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Entwicklung und Kritik der höchstrichterlichen Rechtsprechung zurGlaubhaftigkeitsanalyseEpistemische Gerechtigkeit und Implikationen für Aussage-gegen-Aussage-Konstellationen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Rechte Gottes versus die Rechte der MenschenDie hadd- und qisas-Delikte des klassischen islamischen Strafrechts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Sascha Knaupe, Die unionsrechtskonforme Auslegung des bundesdeutschen Strafrechts, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Roxins mittelbare Täterschaft kraft organisatorischer MachtapparateEine kritische Analyse,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
La autoría mediata en virtud de aparatos organizados de poder de RoxinUn análisis crítico,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Beleidigung und GrundgesetzVerfassungsrechtliche Anforderungen an die Verurteilung wegen beleidigender Werturteile,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Frauke Rostalski, Der Tatbegriff im Strafrecht. Entwurf eines im gesamten Strafrechtssystem einheitlichen normativ-funktionalen Begriffs der Tat, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Gedanken zur deutschsprachigen StrafrechtswissenschaftEssay,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Claus Roxins Aufsatz Straftaten im Rahmen organisatorischer Machtapparate aus dem Jahr 1963 als Beitrag zur juristischen Aufarbeitung der NS-Gewaltverbrechen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
The Contribution of Claus Roxins Notion of Indirect Perpetration by Means of Organized Power Structures to the Conceptualization of National Socialist Crimes,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Terrorismusfinanzierung in DeutschlandErgebnisse der Forschungsstudie aus Anlass der ersten Nationalen Risikoanalyse,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Neutralisierung, Angstabwehr, KonspirationsnarrativeZu einer Kriminologie des Verschwörungsglaubens",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Jan Christoph Bublitz/Jochen Bung/Anette Grünewald, Dorothea Magnus/Holm Putzke/Jörg Scheinfeld (Hrsg.), Recht Philosophie Literatur, Festschrift für Reinhard Merkel zum 70. Geburtstag, Teilbd. 1 und 2, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Hans-Holger Herrnfeld/Dominik Brodowski/Christoph Burchard, European Public Prosecutors Office. Regulation (EU) 2017/1939 implementing enhanced cooperation on the establishment of the European Public Prosecutors Office ( the EPPO ), 2021",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Über den rechtswissenschaftlichen DiskursOder: Was darf und was soll ein Rezensent?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Diachroner Retributivismus,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Erweiterung von § 362 StPO im Lichte des VerfassungsrechtsEine Erwiderung auf Letzgus, NStZ 2020, 717",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Majestas Europae oder False Flag Authority?Zur Rationalität von §§ 90c, 104 StGB n.F. und der Staatlichkeit der Europäischen Union im deutschen Strafrecht",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtsrelevante Entwicklungen in der Europäischen Union ein Überblick,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Das Ende der Strafzumessungslösung nach einer menschenrechtswidrigen TatprovokationZugleich Besprechung von EGMR, Urt. v. 15.10.2020 40495/15, 37273/15, 40913/15 (Akbay u.a. v. Deutschland)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Stephan Ast, Handlung und Zurechnung, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Kai Ambos (Hrsg.), Strafzumessung, Angloamerikanische und deutsche Einblicke/Sentencing, Anglo-American and German Insights, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtslehre als Wissenschaft?Betrachtungen aus der Perspektive des Wissenschaftsrechts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Verhaltensnorm, Sanktionsnorm und Tatbegriff eine kritische Betrachtung",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die neuere BGH-Rechtsprechung zum Versuchsbeginn bei Auf- und Einbruchdiebstahl,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Alter Wein in neuen Schläuchen oder Paradigmenwechsel beim Begriff der kriminellen Vereinigung (§ 129 Abs. 2 StGB)?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Verwertung von im Ausland überwachter Chatnachrichten im StrafverfahrenZugleich Besprechung der EncroChat-Beschlüsse des OLG Bremen v. 18.12.2020 1 Ws 166/20, und OLG Hamburg v. 29.1.2021 1 Ws 2/21",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
The COVID-19 pandemic and Hungarian substantive criminal law,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Felix Ruppert, Die Sozialadäquanz im Strafrecht, Rechtsfigur oder Mythos?, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Marianne Johanna Lehmkuhl/Frank Meyer (Hrsg.), Das Unternehmen im Brennpunkt nationaler und internationaler Strafverfahren, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Marius Endler, Die Doppelstellung des Opferzeugen, Zur Vereinbarkeit der Informations-, Offensiv- und Beistandsrechte des Opfers mit dessen Zeugenstellung, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Überlegungen zur Reform der §§ 277 bis 279 StGB,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"§§ 265c, 265d StGB: Für den Fußball gemacht aber auf den Fußball nicht anwendbarEine ungewollte Strafbarkeitslücke",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Tücken der GlaubhaftigkeitsbegutachtungGibt es einen Ausweg aus dem Aussage-gegen-Aussage-Dilemma?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Otto Lagodny, Zwei Strafrechtswelten, Rechtsvergleichende Betrachtungen und Erfahrungen aus deutscher Sicht in Österreich, 2021",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Rainer T. Cherkeh/Carsten Momsen/Jan F. Orth (Hrsg.), Handbuch Sportstrafrecht, 2021",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
1/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Schuldbegriff und soziale Exklusion,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Grundvoraussetzungen gemeinschaftlicher Organisation im Strafrecht,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der dolus alternativus,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Aussagedelikte und Dolmetscher,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Mann als einziger tauglicher Täter exhibitionistischer Handlungen nach § 183 StGB,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Gegen Personen des politischen Lebens gerichtete Beleidigung, üble Nachrede und Verleumdung: Welches Rechtsgut wird durch § 188 StGB geschützt?",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Verbales Verwenden? Zur Auslegung der Drohungsalternative des§ 250 Abs. 2 Nr. 1 StGBZugleich Besprechung von BGH, Beschl. v. 8.4.2020 – 3 StR 5/20 = NStZ 2021, 229",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Das Verhältnis von Eigentums- und Vermögensdelikten als ein Problem des allgemeinen GleichheitssatzesZugleich: Plädoyer für die Aufgabe des „wirtschaftlichen“ Vermögens- und Schadensbegriffs,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Die Strafbarkeit der Kandidaten-BestechungZugleich eine Besprechung von BGH, Beschl. v. 1.6.2021 – 6 StR 119/21",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Vernachlässigung strafrechtlicher Wertungen in der Bekämpfung der Corona-Pandemie,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Unterlassene Hilfeleistung gegenüber Covid-19-Patienten über die Landesgrenze hinaus?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Acerca del discurso científico-jurídicoO: ¿Qué puede y debe hacer un recensor?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Fahrlässigkeitsstrafbarkeit von Anstaltsleitern bei vollzugsöffnenden Entscheidungen im Strafvollzug,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Grenzen des Rechtsschutzes bei der akzessorischen Rechtshilfe in der SchweizTheorie vs. Realität,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Eric Hilgendorf (Hrsg.), Das Schuldprinzip im deutsch-chinesischen Vergleich, Beiträge der vierten Tagung des Chinesisch-Deutschen Strafrechtslehrerverbands in Hangzhou vom 8. bis 12. September 2017, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
2/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
In eigener Sache,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Die Reform der §§ 275, 277 bis 281 StGB durch das Gesetz zur Änderung des Infektionsschutzgesetzes und weiterer Gesetze anlässlich der Aufhebung der Feststellung der epidemischen Lage von nationaler Tragweite",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Lex specialis derogat legi generali: Strafbarkeitslücken und Privilegierungen beim Fälschen von Impfausweisen und Impfzertifikaten,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Verwertbarkeit von Auslandsbeweisen im Lichte der EncroChat-Ermittlungen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Deutschlands Cannabis-Dilemma,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die Normativierung des VorsatzesZwischen epistemischem Prinzip und Verantwortungsprinzip,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Strafrechtliche Rechtsgüter: Legitimationsgrundlage und Regulierungsgrenzen des modernen chinesischen Strafrechts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die strafrechtlichen Grenzen der GemeinschaftDas Problem der Knabenbeschneidung im Lichte einer Philosophie der Person,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
§ 219a StGB im Kontext der Grund- und Menschenrechte,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Carolin Arnemann, Defizite der Wiederaufnahme in Strafsachen, Bestandsaufnahme und Reformvorschläge auf der Grundlage einer empirischen Untersuchung, 2019",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
3/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Tatumstands- und Verbotsirrtum,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Positives und symbolisches StrafrechtVon guter und schlechter Kriminalpolitik,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Behandlungsabbruch und strafrechtliche Zurechnung,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Actio libera in causa, mittelbare Täterschaft und personale Identität",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Die untreuespezifische Pflichtwidrigkeit bei unternehmerischen EntscheidungenDie Akzessorietät des § 266 StGB zu gesellschaftsrechtlichen Haftungsmaßstäben und insbesondere zur Business Judgement Rule,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Klaus Ulsenheimer/Karsten Gaede, Arztstrafrecht in der Praxis, 2021",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
4/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Bemerkungen zur „präventiven“ Triage und zur „ex-post“-Triage,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
The Emergence and Development of the Organisational Perpetration Theory in the Latin American Case Law since the Latter Half of the Twentieth Century,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Gewinnerzielung als übergeordnetes gemeinsames Interesse einer Vereinigung nach § 129 Abs. 2 StGBZur Frage der Anwendbarkeit des § 129 StGB im Zusammenhang mit einer kriminellen wirtschaftlichen Betätigung – zugleich Anmerkung zu BGH, Urt. v. 2.6.2021 – 3 StR 21/21",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Rechtshilfe bei instrumentalisierten oder durch Korruption beeinflussten StrafverfahrenPrinzipien der schweizerischen Rechtshilfe auf dem Prüfstand,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"KG, Beschl. v. 6.11.2020 – 5 Ws 193/20(Zur gerichtlichen Zuständigkeit für die Entscheidung, ob die Vollstreckung des Rests einer Freiheitsstrafe zur Bewährung ausgesetzt werden soll in Fällen, in denen ein Amts- oder Landgericht eine nachträgliche Gesamtstrafe mit der von einem Oberlandesgericht verhängten Strafe gebildet hat)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Carsten Stahn, Justice as Message, Expressivist Foundations of International Criminal Justice, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Martin Heuser, Zur Positivität des Rechts in der kritischen Naturrechtslehre Immanuel Kants, Eine Studie zum metaphysischen Begriff des provisorisch-rechtlichen Besitzes, 2020",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
5/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Das „Grundrecht auf selbstbestimmtes Sterben“ und die Schwierigkeit, es in Anspruch zu nehmenZugleich Besprechung von OVG Münster, Urt. v. 2.2.2022 – 9 A 146/21",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Aktuelle Entwicklungen im Wiederaufnahmerecht des deutschen Strafprozessrechts: § 362 Nr. 5 StPO und der Paradigmenwechsel bei der Wiederaufnahme zuungunsten des Verurteilten,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Cooperation agreements and negotiations in Brazilian criminal justice: agreements based on the defendant’s guilty plea,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Kai Ambos (Hrsg.), Rome Statute of the International Criminal Court, Article-by-Article Commentary, 4. Aufl. 2022",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
6/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Vorsatztheorie de lege lata?Eine Replik auf Herzberg, ZfIStw 3/2022, 253",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"Umstände, die zum gesetzlichen Tatbestand gehörenEine Duplik auf Lichtenthäler/Scheinfeld, ZfIStw 6/2022, 420",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Gegenseitige Anerkennung als „Joker“ bei transnationalen Ermittlungen?Einige Überlegungen zu dem Rechtsstreit Berliner Gerichte im Fall „EncroChat“,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Market abuse regulation and market abuse directive: happy markets without happy investors?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
"BGH, Beschl. v. 28.7.2021 – 1 StR 506/20(Bestechung im geschäftlichen Verkehr gem. § 299 StGB [a.F.] bei Einverständnis des Betriebs- bzw. Unternehmensinhabers)",Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
7-8/2022,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Ökozid vor dem Internationalen Strafgerichtshof?Eine kritische Würdigung des Vorschlags der „Stop Ecocide“-Initiative zur Ergänzung des Römischen Statuts,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Künstliche Intelligenz im Strafverfahren am Beispiel von Kriminalprognosen,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der Schutz von Kommunalpolitikern durch den Tatbestand des § 188 StGBBegriffstheoretische Gedanken zur Definition des Merkmals „im politischen Leben des Volkes stehende Person“,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Der administrative AnsatzDer Weg zu einem ganzheitlichen Konzept in der Bewältigung organisierter Kriminalität?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
Humanitäre Hilfe für Afghanistan als strafbare Terrorismusfinanzierung im Sinne von Art. 260quinquies des schweizerischen StGB?,Zeitschrift für Internationale Strafrechtsdogmatik,ZIS,Deutschland
